,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,1,-1,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,1,-1,major,0,note,D5,D,D,0.0,5,74.0,2.0,0.5,1.0
2,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,2.0
3,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,2,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,3.0
4,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,3,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,4.0
5,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,3,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.5,5.0
6,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,4,,,,note,D5,D,D,0.0,5,74.0,2.0,1.0,6.0
7,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,5,,,,rest,,,,,,,,0.25,8.0
8,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,5,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,8.5
9,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,5,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,9.5
10,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,6,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,10.0
11,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,6,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,11.0
12,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,6,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,11.5
13,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,7,,,,note,C5,C,C,0.0,5,72.0,0.0,1.0,12.0
14,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,8,,,,note,B4,B,B,0.0,4,71.0,11.0,0.5,14.0
15,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,8,,,,rest,,,,,,,,0.5,15.0
16,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,9,,,,rest,,,,,,,,0.25,16.0
17,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,10,,,,rest,,,,,,,,0.25,18.0
18,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,11,,,,rest,,,,,,,,0.25,20.0
19,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,12,,,,rest,,,,,,,,0.25,22.0
20,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,13,,,,rest,,,,,,,,0.25,24.0
21,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,13,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,24.5
22,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,13,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,25.5
23,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,14,,,,note,G5,G,G,0.0,5,79.0,7.0,1.0,26.0
24,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,15,,,,note,Gb5,Gb,G,-1.0,5,78.0,6.0,1.0,28.0
25,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,16,,,,rest,,,,,,,,0.25,30.0
26,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,17,,,,rest,,,,,,,,0.5,32.0
27,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,17,,,,note,G5,G,G,0.0,5,79.0,7.0,0.5,33.0
28,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,18,,,,note,G5,G,G,0.0,5,79.0,7.0,0.5,34.0
29,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,18,,,,note,F5,F,F,0.0,5,77.0,5.0,0.5,35.0
30,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,19,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.5,36.0
31,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,19,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,37.0
32,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,19,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,37.5
33,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,20,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,38.0
34,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,20,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,38.5
35,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,20,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,38.75
36,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,20,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,39.0
37,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,20,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,39.5
38,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,21,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,40.0
39,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,21,,,,rest,,,,,,,,0.25,41.0
40,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,21,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,41.5
41,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,22,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,42.0
42,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,22,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,42.5
43,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,22,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,43.0
44,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,22,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,43.5
45,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,23,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.5,44.0
46,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,23,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,45.0
47,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,24,,,,note,D5,D,D,0.0,5,74.0,2.0,1.0,46.0
48,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,25,,,,note,D5,D,D,0.0,5,74.0,2.0,1.0,48.0
49,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,26,,,,note,F5,F,F,0.0,5,77.0,5.0,0.75,50.0
50,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,26,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,51.5
51,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,27,,,,note,E5,E,E,0.0,5,76.0,4.0,0.5,52.0
52,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,27,,,,rest,,,,,,,,0.25,53.0
53,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,27,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,53.5
54,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,28,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,54.0
55,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,28,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,54.5
56,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,28,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,55.0
57,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,28,,,,note,G5,G,G,0.0,5,79.0,7.0,0.25,55.5
58,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,29,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,56.0
59,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,29,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,56.5
60,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,29,,,,note,F5,F,F,0.0,5,77.0,5.0,0.125,57.0
61,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,29,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,57.25
62,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,29,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,57.5
63,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,30,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,58.0
64,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,30,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.25,58.5
65,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,30,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,59.0
66,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,30,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,59.5
67,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,31,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,60.0
68,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,31,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,60.5
69,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,31,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,61.0
70,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,32,,,,note,A4,A,A,0.0,4,69.0,9.0,0.5,62.0
71,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,32,,,,rest,,,,,,,,0.25,63.0
72,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,32,,,,note,G4,G,G,0.0,4,67.0,7.0,0.25,63.5
73,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,1,-1,major,0,note,G4,G,G,0.0,4,67.0,7.0,1.0,0
74,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,2,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.75,2.0
75,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,3.5
76,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,2,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,3.75
77,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,3,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,4.0
78,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,3,,,,note,B4,B,B,0.0,4,71.0,11.0,0.25,4.5
79,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,3,,,,note,C5,C,C,0.0,5,72.0,0.0,0.5,5.0
80,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,4,,,,note,A4,A,A,0.0,4,69.0,9.0,1.0,6.0
81,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,5,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.75,8.0
82,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,5,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,9.5
83,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.5,10.0
84,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,6,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,11.0
85,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,6,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,11.5
86,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,7,,,,note,A4,A,A,0.0,4,69.0,9.0,0.125,12.0
87,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.125,12.25
88,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,7,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,12.5
89,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,7,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.25,13.5
90,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,8,,,,note,G4,G,G,0.0,4,67.0,7.0,0.5,14.0
91,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,8,,,,rest,,,,,,,,0.5,15.0
92,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,9,,,,rest,,,,,,,,0.5,16.0
93,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,9,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,17.0
94,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,10,,,,note,D5,D,D,0.0,5,74.0,2.0,0.5,18.0
95,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,10,,,,note,F5,F,F,0.0,5,77.0,5.0,0.5,19.0
96,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,11,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,20.0
97,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,11,,,,note,E5,E,E,0.0,5,76.0,4.0,0.25,20.5
98,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,11,,,,note,E5,E,E,0.0,5,76.0,4.0,0.5,21.0
99,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,12,,,,note,D5,D,D,0.0,5,74.0,2.0,0.75,22.0
100,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,12,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,23.5
101,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,13,,,,note,D5,D,D,0.0,5,74.0,2.0,0.375,24.0
102,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,13,,,,note,E5,E,E,0.0,5,76.0,4.0,0.125,24.75
103,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,13,,,,note,F5,F,F,0.0,5,77.0,5.0,0.25,25.0
104,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,13,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,25.5
105,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,14,,,,note,D5,D,D,0.0,5,74.0,2.0,0.25,26.0
106,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,14,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,26.5
107,..\data\scores\Victoria_TomasLuisde\O-vos-omnes_Victoria-Tomas-Luis-de_file1.xml,Victoria_TomasLuisde,O-vos-omnes_Victoria-Tomas-Luis-de_file1,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,26.75
