,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,1,-5,major,0,rest,,,,,,,,0.5,0
1,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,1,-5,major,0,rest,,,,,,,,1.0,1.3953520822141448
2,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,2,,,,rest,,,,,,,,0.5,4.186056246642434
3,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,2,,,,rest,,,,,,,,1.0,5.581408328856579
4,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,3,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,8.372112493284869
5,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,9.418626554945478
6,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,3,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,10.11630259605255
7,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,3,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.375,10.465140616606087
8,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,3,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,11.511654678266696
9,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,3,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,12.209330719373769
10,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,4,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.375,12.558168739927305
11,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,4,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.25,13.604682801587915
12,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,4,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.125,14.302358842694987
13,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,4,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,14.651196863248524
14,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,16.74422498656974
15,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,5,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.125,17.441901027676813
16,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,5,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.25,17.79073904823035
17,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,18.488415089337423
18,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,5,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.375,18.83725310989096
19,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,5,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,19.88376717155157
20,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,5,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.125,20.58144321265864
21,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,6,,,,note,C4,C,C,0.0,4,60.0,0.0,0.75,20.930281233212177
22,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,6,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.375,23.023309356533396
23,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,6,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.125,24.069823418194005
24,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,6,,,,rest,,,,,,,,0.125,24.41866143874754
25,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,6,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,24.767499459301078
26,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,7,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,25.116337479854614
27,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,7,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,26.162851541515224
28,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,7,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,26.860527582622296
29,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,7,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.375,27.209365603175833
30,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,7,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,28.255879664836442
31,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,7,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,28.953555705943515
32,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,8,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.375,29.30239372649705
33,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,8,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.25,30.34890778815766
34,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,8,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.125,31.046583829264733
35,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,8,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,31.39542184981827
36,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,9,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,33.48844997313949
37,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,9,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.125,34.18612601424656
38,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,9,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.25,34.5349640348001
39,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,9,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,35.23264007590717
40,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,9,,,,note,C4,C,C,0.0,4,60.0,0.0,0.375,35.58147809646071
41,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,9,,,,note,Ab3,Ab,A,-1.0,3,56.0,8.0,0.25,36.627992158121316
42,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,9,,,,note,Bb3,Bb,B,-1.0,3,58.0,10.0,0.125,37.32566819922839
43,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,10,,,,note,C4,C,C,0.0,4,60.0,0.0,0.75,37.674506219781925
44,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,10,,,,note,C4,C,C,0.0,4,60.0,0.0,0.75,39.767534343103144
45,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,11,,,,note,C4,C,C,0.0,4,60.0,0.0,0.375,41.86056246642436
46,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,11,,,,rest,,,,,,,,0.125,42.90707652808497
47,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,11,,,,rest,,,,,,,,0.25,43.25591454863851
48,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,12,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,43.95359058974558
49,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,12,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,45.00010465140619
50,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,12,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,46.0466187130668
51,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,12,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,47.09313277472741
52,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,13,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.375,48.13964683638802
53,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,13,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,49.18616089804863
54,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,13,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.125,49.8838369391557
55,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,13,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,50.232674959709236
56,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,14,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,52.325703083030454
57,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,14,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,53.02337912413753
58,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,53.372217144691064
59,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,54.41873120635167
60,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,14,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,55.116407247458746
61,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,14,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,55.46524526801228
62,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,14,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.125,56.162921309119355
63,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,15,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,56.51175932967289
64,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,15,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.75,58.60478745299411
65,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,16,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.375,60.69781557631533
66,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,16,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,61.74432963797594
67,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,16,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,62.44200567908301
68,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,16,,,,note,C5,C,C,0.0,5,72.0,0.0,0.75,62.79084369963655
69,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,17,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,64.88387182295776
70,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,17,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,65.93038588461836
71,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,17,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.125,66.62806192572543
72,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,17,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.75,66.97689994627896
73,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,18,,,,note,Fb5,Fb,F,-1.0,5,76.0,4.0,0.375,69.06992806960018
74,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,18,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.25,70.11644213126078
75,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,18,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.125,70.81411817236786
76,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,18,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,71.16295619292138
77,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,18,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,71.86063223402846
78,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,18,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,72.20947025458199
79,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,18,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,72.90714629568906
80,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,19,,,,note,F5,F,F,0.0,5,77.0,5.0,1.5,73.25598431624259
81,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,20,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,77.44204056288503
82,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,20,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,79.53506868620624
83,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,20,,,,rest,,,,,,,,0.375,80.58158274786685
84,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,21,,,,rest,,,,,,,,0.25,81.62809680952745
85,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,21,,,,rest,,,,,,,,0.25,82.32577285063452
86,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,21,,,,rest,,,,,,,,1.0,83.0234488917416
87,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,22,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,85.81415305616989
88,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,22,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,86.86066711783049
89,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,22,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,87.55834315893756
90,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,22,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.375,87.90718117949109
91,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,22,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,88.95369524115169
92,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,22,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,89.65137128225876
93,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,23,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.375,90.0002093028123
94,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,23,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.25,91.0467233644729
95,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,23,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.125,91.74439940557997
96,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,23,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,92.0932374261335
97,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,24,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,94.18626554945472
98,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,24,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.25,95.23277961111532
99,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,24,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.125,95.93045565222239
100,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,24,,,,note,F4,F,F,0.0,4,65.0,5.0,0.25,96.27929367277592
101,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,24,,,,note,F4,F,F,0.0,4,65.0,5.0,0.125,96.976969713883
102,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,24,,,,note,Eb4,Eb,E,-1.0,4,63.0,3.0,0.25,97.32580773443652
103,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,24,,,,note,Db4,Db,D,-1.0,4,61.0,1.0,0.125,98.0234837755436
104,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,25,,,,note,C4,C,C,0.0,4,60.0,0.0,0.75,98.37232179609713
105,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,25,,,,note,C4,C,C,0.0,4,60.0,0.0,0.75,100.46534991941834
106,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,26,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,102.55837804273956
107,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,26,,,,note,A4,A,A,0.0,4,69.0,9.0,0.25,103.60489210440016
108,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,26,,,,note,C5,C,C,0.0,5,72.0,0.0,0.125,104.30256814550724
109,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,26,,,,note,Eb5,Eb,E,-1.0,5,75.0,3.0,0.75,104.65140616606077
110,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,27,,,,note,Db5,Db,D,-1.0,5,73.0,1.0,0.375,106.74443428938199
111,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,27,,,,note,C5,C,C,0.0,5,72.0,0.0,0.25,107.79094835104259
112,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,27,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.125,108.48862439214966
113,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,27,,,,note,C5,C,C,0.0,5,72.0,0.0,0.375,108.83746241270319
114,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,27,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,109.88397647436379
115,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,28,,,,rest,,,,,,,,0.25,110.9304905360244
116,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,28,,,,rest,,,,,,,,0.5,111.62816657713147
117,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,28,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.75,113.02351865934561
118,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,29,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.75,115.11654678266683
119,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,29,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.375,117.20957490598805
120,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,29,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.25,118.25608896764865
121,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,29,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,118.95376500875572
122,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,30,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,1.0,119.30260302930925
123,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,30,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.125,122.09330719373754
124,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,30,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.375,122.44214521429107
125,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,31,,,,note,F4,F,F,0.0,4,65.0,5.0,1.5,123.48865927595168
126,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,32,,,,rest,,,,,,,,0.25,127.67471552259411
127,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,32,,,,rest,,,,,,,,0.5,128.37239156370117
128,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,32,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,129.76774364591532
129,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,33,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.75,131.86077176923652
130,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,33,,,,note,Bb4,Bb,B,-1.0,4,70.0,10.0,0.375,133.95379989255773
131,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,33,,,,note,Ab4,Ab,A,-1.0,4,68.0,8.0,0.25,135.00031395421834
132,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,33,,,,note,Gb4,Gb,G,-1.0,4,66.0,6.0,0.125,135.6979899953254
133,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,34,,,,note,F4,F,F,0.0,4,65.0,5.0,0.75,136.04682801587893
134,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,34,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,138.13985613920013
135,..\data\scores\Faure_Gabriel\Faure_-_Les_berceaux.mxl,Faure_Gabriel,Faure_-_Les_berceaux,34,,,,note,F4,F,F,0.0,4,65.0,5.0,0.375,139.18637020086075
