,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,1,0,major,0,note,E5,E,E,0,5,76,4,0.125,0
1,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,1,0,major,0,note,C5,C,C,0,5,72,0,0.125,0.25
2,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,1,0,major,0,note,G#4,G#,G,1,4,68,8,0.125,0.5
3,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,1,0,major,0,rest,,,,,,,,0.125,0.0
4,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,1,0,major,0,rest,,,,,,,,0.25,0.25
5,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,2,,,,note,A4,A,A,0,4,69,9,0.125,0.75
6,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,2,,,,note,A4,A,A,0,4,69,9,0.125,1.0
7,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,2,,,,note,A4,A,A,0,4,69,9,0.125,1.25
8,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,2,,,,note,A4,A,A,0,4,69,9,0.125,1.5
9,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,2,,,,note,A4,A,A,0,4,69,9,0.125,1.75
10,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,2,,,,note,A4,A,A,0,4,69,9,0.125,2.0
11,..\data\scores\Kozeluch_Leopold\26op26no2a.mxl,Kozeluch_Leopold,26op26no2a,2,,,,rest,,,,,,,,0.125,0.75
