,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,1,4,major,0,note,B3,B,B,0,3,59,11,0.75,0
1,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,1,4,major,0,note,B2,B,B,0,2,47,11,0.75,0.0
2,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,2,,,,note,C#4,C#,C,1,4,61,1,0.75,0.5454545454545454
3,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,2,,,,note,C#3,C#,C,1,3,49,1,0.75,0.5454545454545454
4,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,3,,,,note,G#3,G#,G,1,3,56,8,0.75,1.0909090909090908
5,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,3,,,,note,G#2,G#,G,1,2,44,8,0.75,1.0909090909090908
6,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,4,,,,note,C#4,C#,C,1,4,61,1,0.75,1.6363636363636362
7,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,4,,,,note,C#3,C#,C,1,3,49,1,0.75,1.6363636363636362
8,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,5,,,,note,F#3,F#,F,1,3,54,6,0.75,2.1818181818181817
9,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,5,,,,note,A3,A,A,0,3,57,9,0.75,2.1818181818181817
10,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,5,,,,note,B3,B,B,0,3,59,11,0.75,2.1818181818181817
11,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,5,,,,note,B3,B,B,0,3,59,11,0.75,2.1818181818181817
12,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,5,,,,note,B1,B,B,0,1,35,11,0.75,2.1818181818181817
13,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,5,,,,note,B2,B,B,0,2,47,11,0.75,2.1818181818181817
14,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,6,,,,note,F#3,F#,F,1,3,54,6,0.75,2.727272727272727
15,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,6,,,,note,A3,A,A,0,3,57,9,0.75,2.727272727272727
16,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,6,,,,note,B3,B,B,0,3,59,11,0.75,2.727272727272727
17,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,6,,,,note,B1,B,B,0,1,35,11,0.75,2.727272727272727
18,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,6,,,,note,B2,B,B,0,2,47,11,0.75,2.727272727272727
19,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,7,,,,note,F#3,F#,F,1,3,54,6,0.75,3.2727272727272725
20,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,7,,,,note,A3,A,A,0,3,57,9,0.75,3.2727272727272725
21,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,7,,,,note,B3,B,B,0,3,59,11,0.75,3.2727272727272725
22,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,7,,,,note,B1,B,B,0,1,35,11,0.75,3.2727272727272725
23,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,7,,,,note,B2,B,B,0,2,47,11,0.75,3.2727272727272725
24,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,8,,,,note,F#3,F#,F,1,3,54,6,0.75,3.818181818181818
25,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,8,,,,note,A3,A,A,0,3,57,9,0.75,3.818181818181818
26,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,8,,,,note,B3,B,B,0,3,59,11,0.75,3.818181818181818
27,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,8,,,,note,B1,B,B,0,1,35,11,0.75,3.818181818181818
28,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,8,,,,note,B2,B,B,0,2,47,11,0.75,3.818181818181818
29,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,9,,,,note,B3,B,B,0,3,59,11,0.75,4.363636363636363
30,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,9,,,,note,B1,B,B,0,1,35,11,0.25,4.363636363636363
31,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,9,,,,rest,,,,,,,,0.25,4.545454545454545
32,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,9,,,,rest,,,,,,,,0.25,4.727272727272727
33,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,10,,,,note,D#4,D#,D,1,4,63,3,0.75,4.909090909090908
34,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,10,,,,note,A4,A,A,0,4,69,9,0.75,4.909090909090908
35,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,10,,,,note,B2,B,B,0,2,47,11,0.75,4.909090909090908
36,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,10,,,,note,F#3,F#,F,1,3,54,6,0.75,4.909090909090908
37,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,10,,,,note,B3,B,B,0,3,59,11,0.75,4.909090909090908
38,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,E4,E,E,0,4,64,4,0.25,5.454545454545453
39,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,G#4,G#,G,1,4,68,8,0.25,5.454545454545453
40,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,rest,,,,,,,,0.125,5.636363636363635
41,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,B3,B,B,0,3,59,11,0.125,5.727272727272726
42,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,F#4,F#,F,1,4,66,6,0.125,5.727272727272726
43,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,B3,B,B,0,3,59,11,0.25,5.818181818181817
44,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,E4,E,E,0,4,64,4,0.25,5.818181818181817
45,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,E3,E,E,0,3,52,4,0.25,5.454545454545453
46,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,B3,B,B,0,3,59,11,0.25,5.454545454545453
47,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,rest,,,,,,,,0.125,5.636363636363635
48,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,E3,E,E,0,3,52,4,0.125,5.727272727272726
49,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,A3,A,A,0,3,57,9,0.125,5.727272727272726
50,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,E3,E,E,0,3,52,4,0.25,5.818181818181817
51,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,11,,,,note,G#3,G#,G,1,3,56,8,0.25,5.818181818181817
52,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,12,,,,note,E4,E,E,0,4,64,4,0.75,5.999999999999998
53,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,12,,,,note,G#4,G#,G,1,4,68,8,0.75,5.999999999999998
54,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,12,,,,note,E3,E,E,0,3,52,4,0.75,5.999999999999998
55,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,12,,,,note,B3,B,B,0,3,59,11,0.75,5.999999999999998
56,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,13,,,,note,A#3,A#,A,1,3,58,10,0.75,6.545454545454543
57,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,13,,,,note,E4,E,E,0,4,64,4,0.75,6.545454545454543
58,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,13,,,,note,F#4,F#,F,1,4,66,6,0.75,6.545454545454543
59,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,13,,,,note,F#4,F#,F,1,4,66,6,0.75,6.545454545454543
60,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,13,,,,note,C#3,C#,C,1,3,49,1,0.75,6.545454545454543
61,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,13,,,,note,F#3,F#,F,1,3,54,6,0.75,6.545454545454543
62,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,14,,,,note,A#3,A#,A,1,3,58,10,0.75,7.090909090909088
63,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,14,,,,note,E4,E,E,0,4,64,4,0.75,7.090909090909088
64,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,14,,,,note,F#4,F#,F,1,4,66,6,0.75,7.090909090909088
65,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,14,,,,note,C#3,C#,C,1,3,49,1,0.75,7.090909090909088
66,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,14,,,,note,F#3,F#,F,1,3,54,6,0.75,7.090909090909088
67,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,15,,,,note,A#3,A#,A,1,3,58,10,0.75,7.636363636363633
68,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,15,,,,note,E4,E,E,0,4,64,4,0.75,7.636363636363633
69,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,15,,,,note,F#4,F#,F,1,4,66,6,0.75,7.636363636363633
70,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,15,,,,note,C#3,C#,C,1,3,49,1,0.75,7.636363636363633
71,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,15,,,,note,F#3,F#,F,1,3,54,6,0.75,7.636363636363633
72,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,16,,,,note,A#3,A#,A,1,3,58,10,0.75,8.181818181818178
73,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,16,,,,note,E4,E,E,0,4,64,4,0.75,8.181818181818178
74,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,16,,,,note,F#4,F#,F,1,4,66,6,0.75,8.181818181818178
75,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,16,,,,note,C#3,C#,C,1,3,49,1,0.75,8.181818181818178
76,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,16,,,,note,F#3,F#,F,1,3,54,6,0.75,8.181818181818178
77,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,17,,,,note,G#3,G#,G,1,3,56,8,0.5,8.727272727272723
78,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,17,,,,note,B3,B,B,0,3,59,11,0.5,8.727272727272723
79,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,17,,,,note,B3,B,B,0,3,59,11,0.25,9.090909090909086
80,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,17,,,,note,E4,E,E,0,4,64,4,0.25,9.090909090909086
81,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,17,,,,note,B2,B,B,0,2,47,11,0.5,8.727272727272723
82,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,17,,,,note,G#3,G#,G,1,3,56,8,0.25,9.090909090909086
83,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,E4,E,E,0,4,64,4,0.25,9.272727272727268
84,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,G#4,G#,G,1,4,68,8,0.25,9.272727272727268
85,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,G#4,G#,G,1,4,68,8,0.25,9.45454545454545
86,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,B4,B,B,0,4,71,11,0.25,9.45454545454545
87,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,B4,B,B,0,4,71,11,0.25,9.636363636363631
88,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,E5,E,E,0,5,76,4,0.25,9.636363636363631
89,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,B3,B,B,0,3,59,11,0.25,9.272727272727268
90,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,E4,E,E,0,4,64,4,0.25,9.45454545454545
91,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,note,G#4,G#,G,1,4,68,8,0.25,9.636363636363631
92,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,18,,,,rest,,,,,,,,0.25,9.272727272727268
93,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,19,,,,note,E5,E,E,0,5,76,4,0.75,9.818181818181813
94,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,19,,,,note,G#5,G#,G,1,5,80,8,0.75,9.818181818181813
95,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,19,,,,note,B4,B,B,0,4,71,11,0.75,9.818181818181813
96,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,19,,,,rest,,,,,,,,0.25,9.818181818181813
97,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,20,,,,note,G5,G,G,0,5,79,7,0.75,10.363636363636358
98,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,20,,,,note,C#6,C#,C,1,6,85,1,0.75,10.363636363636358
99,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,20,,,,note,A#4,A#,A,1,4,70,10,0.75,10.363636363636358
100,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,20,,,,note,E5,E,E,0,5,76,4,0.75,10.363636363636358
101,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,20,,,,rest,,,,,,,,0.25,10.363636363636358
102,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,F#5,F#,F,1,5,78,6,0.25,10.909090909090903
103,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,B5,B,B,0,5,83,11,0.25,10.909090909090903
104,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,D5,D,D,0,5,74,2,0.25,11.090909090909085
105,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,G#5,G#,G,1,5,80,8,0.25,11.090909090909085
106,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,C#5,C#,C,1,5,73,1,0.25,11.272727272727266
107,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,A5,A,A,0,5,81,9,0.25,11.272727272727266
108,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,B4,B,B,0,4,71,11,0.25,10.909090909090903
109,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,D#5,D#,D,1,5,75,3,0.25,10.909090909090903
110,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,E#4,E#,E,1,4,65,5,0.25,11.090909090909085
111,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,B4,B,B,0,4,71,11,0.25,11.090909090909085
112,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,F#4,F#,F,1,4,66,6,0.25,11.272727272727266
113,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,note,A4,A,A,0,4,69,9,0.25,11.272727272727266
114,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,21,,,,rest,,,,,,,,0.25,10.909090909090903
115,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,C#5,C#,C,1,5,73,1,0.25,11.454545454545448
116,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,F#5,F#,F,1,5,78,6,0.25,11.454545454545448
117,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,B#4,B#,B,1,4,60,0,0.25,11.63636363636363
118,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,G#5,G#,G,1,5,80,8,0.25,11.63636363636363
119,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,C#5,C#,C,1,5,73,1,0.25,11.818181818181811
120,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,E5,E,E,0,5,76,4,0.25,11.818181818181811
121,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,D#4,D#,D,1,4,63,3,0.25,11.454545454545448
122,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,A4,A,A,0,4,69,9,0.25,11.454545454545448
123,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,G#3,G#,G,1,3,56,8,0.25,11.63636363636363
124,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,G#4,G#,G,1,4,68,8,0.25,11.63636363636363
125,..\data\scores\Chopin_Frederic\Scherzo_No.4_F.Chopin_Op.54.xml,Chopin_Frederic,Scherzo_No.4_F.Chopin_Op.54,22,,,,note,C#4,C#,C,1,4,61,1,0.25,11.818181818181811
