,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,rest,,,,,,,,0.08333333333333333,0
1,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.08333333333333333,0.16666666666666666
2,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,A4,A,A,0.0,4,69.0,9.0,0.08333333333333333,0.3333333333333333
3,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,G#4,G#,G,1.0,4,68.0,8.0,0.08333333333333333,0.5
4,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.08333333333333333,0.6666666666666666
5,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,F#4,F#,F,1.0,4,66.0,6.0,0.08333333333333333,0.8333333333333333
6,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,E4,E,E,0.0,4,64.0,4.0,0.08333333333333333,0.9999999999999999
7,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.08333333333333333,1.1666666666666665
8,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,D#5,D#,D,1.0,5,75.0,3.0,0.08333333333333333,1.3333333333333333
9,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,C#5,C#,C,1.0,5,73.0,1.0,0.08333333333333333,1.5
10,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,E5,E,E,0.0,5,76.0,4.0,0.08333333333333333,1.6666666666666667
11,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,1,4,major,0,note,B4,B,B,0.0,4,71.0,11.0,0.08333333333333333,1.8333333333333335
12,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.08333333333333333,2.0
13,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,A5,A,A,0.0,5,81.0,9.0,0.08333333333333333,2.1666666666666665
14,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,G#5,G#,G,1.0,5,80.0,8.0,0.08333333333333333,2.333333333333333
15,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.08333333333333333,2.4999999999999996
16,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,A5,A,A,0.0,5,81.0,9.0,0.08333333333333333,2.666666666666666
17,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,E5,E,E,0.0,5,76.0,4.0,0.08333333333333333,2.8333333333333326
18,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,D#5,D#,D,1.0,5,75.0,3.0,0.08333333333333333,2.999999999999999
19,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.08333333333333333,3.1666666666666656
20,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,C#5,C#,C,1.0,5,73.0,1.0,0.08333333333333333,3.333333333333332
21,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,B4,B,B,0.0,4,71.0,11.0,0.08333333333333333,3.4999999999999987
22,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,F#5,F#,F,1.0,5,78.0,6.0,0.08333333333333333,3.666666666666665
23,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,2,,,,note,A4,A,A,0.0,4,69.0,9.0,0.08333333333333333,3.8333333333333317
24,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.08333333333333333,3.9999999999999982
25,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,B4,B,B,0.0,4,71.0,11.0,0.08333333333333333,4.166666666666665
26,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,F#4,F#,F,1.0,4,66.0,6.0,0.08333333333333333,4.333333333333332
27,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.08333333333333333,4.499999999999999
28,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,G#4,G#,G,1.0,4,68.0,8.0,0.08333333333333333,4.666666666666666
29,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,D#4,D#,D,1.0,4,63.0,3.0,0.08333333333333333,4.833333333333333
30,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,C#4,C#,C,1.0,4,61.0,1.0,0.08333333333333333,5.0
31,..\data\scores\Hummel_JohannNepomuk\Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3.xml,Hummel_JohannNepomuk,Prelude-in-E-Major-Op.-67-no.-9-Allegro_Hummel-Johann-Nepomuk_file3,3,,,,note,E4,E,E,0.0,4,64.0,4.0,0.08333333333333333,5.166666666666667
