,filepath,composer,filename,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset
0,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,0
1,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,D5,D,D,0,5,74,2,0.0,0
2,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.0625,0.25
3,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,B4,B,B,0,4,71,11,0.0625,0.375
4,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,0.5
5,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,D5,D,D,0,5,74,2,0.125,0.75
6,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,F#5,F#,F,1,5,78,6,0.125,1.0
7,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,E5,E,E,0,5,76,4,0.125,1.25
8,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,D5,D,D,0,5,74,2,0.125,1.5
9,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,1,3,major,0,note,C#5,C#,C,1,5,73,1,0.125,1.75
10,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,B4,B,B,0,4,71,11,0.125,2.0
11,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,C#5,C#,C,1,5,73,1,0.0,0
12,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,B4,B,B,0,4,71,11,0.0625,2.25
13,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,A#4,A#,A,1,4,70,10,0.0625,2.375
14,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,B4,B,B,0,4,71,11,0.125,2.5
15,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,C#5,C#,C,1,5,73,1,0.125,2.75
16,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,E5,E,E,0,5,76,4,0.125,3.0
17,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,D5,D,D,0,5,74,2,0.125,3.25
18,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,C#5,C#,C,1,5,73,1,0.125,3.5
19,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,2,,,,note,B4,B,B,0,4,71,11,0.125,3.75
20,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,note,G#4,G#,G,1,4,68,8,0.125,4.0
21,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,note,A4,A,A,0,4,69,9,0.125,4.25
22,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,rest,,,,,,,,0.125,4.5
23,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,note,A#4,A#,A,1,4,70,10,0.125,4.75
24,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,rest,,,,,,,,0.125,5.0
25,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,note,B4,B,B,0,4,71,11,0.125,5.25
26,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,rest,,,,,,,,0.125,5.5
27,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,3,,,,note,B#4,B#,B,1,4,60,0,0.125,5.75
28,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,D5,D,D,0,5,74,2,0.0,0
29,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,C#5,C#,C,1,5,73,1,0.125,6.0
30,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,C#5,C#,C,1,5,73,1,0.125,6.25
31,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,E5,E,E,0,5,76,4,0.0,0
32,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,D5,D,D,0,5,74,2,0.125,6.5
33,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,D5,D,D,0,5,74,2,0.125,6.75
34,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,C#5,C#,C,1,5,73,1,0.25,7.0
35,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,note,B4,B,B,0,4,71,11,0.125,7.5
36,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,4,,,,rest,,,,,,,,0.125,7.75
37,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,C#5,C#,C,1,5,73,1,0.0625,8.0
38,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,A4,A,A,0,4,69,9,0.0625,8.125
39,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,E4,E,E,0,4,64,4,0.0625,8.25
40,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,A4,A,A,0,4,69,9,0.0625,8.375
41,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,C#5,C#,C,1,5,73,1,0.0625,8.5
42,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,A4,A,A,0,4,69,9,0.0625,8.625
43,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,D5,D,D,0,5,74,2,0.0625,8.75
44,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,B4,B,B,0,4,71,11,0.0625,8.875
45,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,E5,E,E,0,5,76,4,0.0625,9.0
46,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,C#5,C#,C,1,5,73,1,0.0625,9.125
47,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,E5,E,E,0,5,76,4,0.0625,9.25
48,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,C#5,C#,C,1,5,73,1,0.0625,9.375
49,data\scores\Mozart\sonata11-1g.xml,Mozart,sonata11-1g,5,,,,note,F#5,F#,F,1,5,78,6,0.0625,9.5
